word,sentence,sense
ಅಡಿ,ರಿಮ್‌ನ ಎತ್ತರ 10 ಅಡಿ 3–0 ಎನ್‌ಬಿಎ ಇರುವ ಹಾಗೆ,2
ಅಡಿ,ಕಾವೇರಿ ಕಣಿವೆಯ ಎಲ್ಲ ಜಲಾಶಯಗಳಲ್ಲೂ ಸೇರಿದಂತೆ ಒಟ್ಟು 34 ಟಿಎಂಸಿ ಅಡಿ ನೀರು ಮಾತ್ರ ಸಂಗ್ರಹವಿದೆ.,1
ಅಡಿ,ವಿಜಾಪುರ ನಗರದ ‘ಶಹಪುರ ಅಗಸಿ’ಯ ಸಮೀಪವೇ ನಿರ್ಮಾಣಗೊಂಡಿರುವ ಇದು ೧೪೪ ಅಡಿ ಅಗಲ ೧೫೬ ಅಡಿ ಉದ್ದವಿದೆ.,2
ಅಡಿ,ಕೆಆರ್‌ಎಸ್‌ನಲ್ಲಿ 350 ಅಡಿ ಎತ್ತರದ ಕಾವೇರಿ ತಾಯಿ ಪ್ರತಿಮೆ ನಿರ್ಮಾಣ,2
ಅಡಿ,ಸುಮಾರು ಏಳು ಸಾವಿರ ಬಾಳೆಹಣ್ಣಿನಿಂದ ತಯಾರಾಗಿರುವ 10 ಅಡಿ ಎತ್ತರದ ಗಣೇಶ Read more…,2
ಅಡಿ,"ನಿಮ್ಮ ಅಡಿ ಭುಜವನ್ನು ಅಗಲವಾಗಿರಿಸಿ, ಹೊಟ್ಟೆಯ ಸ್ನಾಯುಗಳನ್ನು ಬಿಗಿಗೊಳಿಸಿ ಮತ್ತು ನಿಮ್ಮ ಕಾಲುಗಳನ್ನು ಎತ್ತಿ ದೃಢವಾಗಿ ಸರಿಯಾದ ಭಂಗಿಯನ್ನೇ ಅನುಸರಿಸಿ.",1
ಅಡಿ,ಅಡಿ ಟಿಪ್ಪಣಿ:,1
ಅಡಿ,ಒಂದ್ ಅಡಿ ಬಾಳೇದಿಂಡಿಂದ 3 ವೋಲ್ಟ್ ವಿದ್ಯುತ್ ತಯಾರಾಗುತ್ತೆ.,2
ಅಡಿ,ಅಡಿ ಎತ್ತರದ ಈ ಆಣೆಕಟ್ಟು ಹಾಸನದ ಪ್ರವಾಸೋದ್ಯಮದಲ್ಲಿ ಪ್ರಮುಖ ಪಾತ್ರ ವಹಿಸಿದೆ.,2
ಅಡಿ,ಇಲ್ಲಿಗೆ ಹತ್ತಿರದಲ್ಲಿ ಸತುರಗಿರಿ ಬೆಟ್ಟವಿದೆ.ಇಲ್ಲಿ ಸಿದ್ಧ ದೇವರ ನಿವಾಸಸ್ಥಾನ ಕಾಣಬಹುದು.ಮಾಧವ ವಿಲಗಂ ವಿಧ್ಯಾನಾಥ ದೇವಸ್ಥಾನದಲ್ಲಿ ಆರು ಅಡಿ ಎತ್ತರದ ನಾಗರಾಜ ಚಿತ್ರಣವಿದೆ.ಈ ದೇವಸ್ಥಾನವು ಇದರದೇ ಆದ ಇತಿಹಾಸವನ್ನು ಹೊಂದಿದೆ.ಶ್ರೀವಿಲ್ಲಿಪುತೂರ್ ನಿಂದ 9 ಕಿ ಮೀ ಅಂತರದಲ್ಲಿ ಕೊತ್ತಳಗರ್ ಇರುವ ಕೊತ್ತಳಗರ್ ದೇವ ದೇವಾಲಯವಿದೆ.ಈ ದೇವಸ್ಥಾನ ಮಂತುಗ ಬೆಟ್ಟದಲ್ಲಿದೆ.ಈ ಸ್ಥಳದಲ್ಲಿ ವರ್ಷಪೂರ್ತಿ ತೀರ್ಥ ನೀರು ಹರಿಯುತ್ತಿರುತ್ತದೆ.,2
ಗುಂಡಿ,ರೈತರ ಪಂಪ್‌ಸೆಟ್‌ಗಳಿಂದ ನೀರು ಪಡೆದು ಗುಂಡಿ ತುಂಬಿಸುತ್ತಿರುವುದು ವಿಶೇಷ.,1
ಗುಂಡಿ,"ಅಲ್ಲದೆ, ಈಗಾಗಲೇ ಗುಂಡಿ ಮುಚ್ಚಿರುವ ಕಾಮಗಾರಿಯ ಗುಣಮಟ್ಟ ಪರಿಶೀಲನೆ ನಡೆಸಲು ಇಬ್ಬರು ಕಮಿಷನರ್‌ಗಳನ್ನು ನೇಮಿಸಿ ಸಮಗ್ರ ವರದಿ ನೀಡುವಂತೆ ಆದೇಶಿಸಿದೆ.",1
ಗುಂಡಿ,ಅಗೆದ ಭಾಗವನ್ನು ಸರಿಯಾಗಿ ಮುಚ್ಚದ ಕಾರಣ ಮಳೆ ನೀರು ನಿಂತು ಗುಂಡಿ ನಿರ್ಮಾಣವಾಗುತ್ತದೆ.,1
ಗುಂಡಿ,"ಇನ್ನೂ ವಿಚಿತ್ರವೆಂದರೆ, ಇಂಗು ಗುಂಡಿ ಮಾಡಿ ಭೂಮಿಗೆ ನೀರುಣಿಸಿದರೆ, ಅಕ್ಕಪಕ್ಕದವರ ಮನೆ ಬೋರ್‌ವೆಲ್‌ಗಳಿಗೆ ಸಹಾಯವಾಗುತ್ತದೆ, ಈ ಕೆಲಸವೇ ಬೇಡ.",1
ಗುಂಡಿ,ಅನಗತ್ಯವಾಗಿ ಹರಿದು ಹೋಗುವ ನೀರನ್ನು ಗುಂಡಿ ಮೂಲಕ ಭೂಮಿಗೆ ಇಂಗುವಂತೆ ಮಾಡಬೇಕು.,1
ಗುಂಡಿ,ಮಹಾತ್ಮ ಗಾಂಧಿ ರಾಷ್ಟ್ರೀಯ ಗ್ರಾಮೀಣ ಉದ್ಯೋಗ ಖಾತ್ರಿ ಯೋಜನೆಯಡಿ ಗ್ರಾಮೀಣ ಮೂಲಭೂತ ಸೌಕರ್ಯದಡಿ ದ್ರವ ತ್ಯಾಜ್ಯ ವಸ್ತುಗಳ ನಿರ್ವಹಣೆ ಮಾಡಲು ಇಂಗು ಗುಂಡಿ ಕಾಮಗಾರಿಯನ್ನು ಅನುಷ್ಟಾನಗೊಳಿಸಲು ಇದೀಗ ಅವಕಾಶ ಕಲ್ಪಿಸಲಾಗಿದೆ.,1
ಗುಂಡಿ,ರೈತರ ಪಂಪ್‌ಸೆಟ್‌ಗಳಿಂದ ನೀರು ಪಡೆದು ಗುಂಡಿ ತುಂಬಿಸುತ್ತಿರುವುದು ವಿಶೇಷ.,1
ಗುಂಡಿ,"ಎಲ್ಲರೂ ಒಟ್ಟಿಗೆ ಸೇರಿ ಹೊಲದ ಬದಿಯಲ್ಲಿ ಗುಂಡಿ ತೋಡಿ, ಅದರೊಳಗೆ ಕುಳ್ಳು, ಕಟ್ಟಿಗೆ ಹಾಕಿ ಗಟ್ಟಿ ಕೆಂಡ ಮಾಡಿ ಜೋಳದ ತೆನೆ ಸುಡಲು ಸಜ್ಜಾಗುವುದು ವಿಶೇಷ.",1
ಗುಂಡಿ,ಮಡಿಕೇರಿ-ಭಾಗಮಂಡಲ-ತಲಕಾವೇರಿ ನಡುವಿನ ಸಂಪರ್ಕ ರಸ್ತೆಯಲ್ಲಿನ ಗುಂಡಿ ಮುಚ್ಚುವ ಮತ್ತು ರಸ್ತೆಯ ಬದಿಯಲ್ಲಿ ಬೆಳೆ ದಿರುವ ಗಿಡಗಳನ್ನು ತೆಗೆಯುವ ಕಾರ್ಯ ಭರ ದಿಂದ ನಡೆಯುತ್ತಿದೆ ಎಂದು ಅವರು ಮಾಹಿತಿ ನೀಡಿದರು.,1
ಗುಂಡಿ,ಗಂಭೀರ ಸಮಸ್ಯೆಯಾಗಿ ಪರಿಣಮಿಸಿರುವ ನಗರದ ರಸ್ತೆಗಳ ಗುಂಡಿ ಮುಚ್ಚುವ ಕಾರ್ಯವನ್ನು ಶೀಘ್ರದಲ್ಲಿ ಮಾಡುವುದಾಗಿ ಅಧ್ಯಕ್ಷರು ಭರವಸೆ ನೀಡಿದ್ದಾರೆ ಎಂದು ಶಿವುಮಾದಪ್ಪ ತಿಳಿಸಿದರು.,1
ಗುಂಡಿ,ಇಂದು ಮತ್ತೆ ಅರ್ಜಿ ವಿಚಾರಣೆ: ಗುಂಡಿ ಮುಚ್ಚುವ ಕಾರ್ಯ ಮುಂದುವರೆಸಲು ಸೂಚನೆ,1
ಗುಂಡಿ,"ಮುಳ್ಳಯ್ಯನ ಗಿರಿ, ಬಾಬಾ ಬುಡನ್ ಗಿರಿ , ಅತ್ತಿ ಗುಂಡಿ , ಕೋಳಗಾನೆ ಈ ಗ್ರಾಮಗಳಲ್ಲಿ ರಸ್ತೆ ಬದಿಯಲ್ಲಿ ಗುಡ್ಡದ ಮಣ್ಣು ಕುಸಿದಿದೆ.",1
ಗುಂಡಿ,"ಶರ್ಟ್​ಗಳ ಗುಂಡಿ ಹಾಕಿಕೊಂಡು ಬರಬೇಕು ಎಂದು ಶಾಸಕರಿಗೆ ಶಿಸ್ತಿನ ಪಾಠ ಮಾಡಿದ್ದಾರೆ, ಮೊದಲ ಬಾರಿಗೆ 61 ಶಾಸಕರು ಆಯ್ಕೆಯಾಗಿದ್ದು, ವಿಧಾನ ಪರಿಷತ್‌ನ 17 ಸದಸ್ಯರು ಸೇರಿ ಒಟ್ಟು 78 ಶಾಸಕರಿಗೆ ವಿಧಾನಸಭೆ, ಪರಿಷತ್‌ ನಡಾವಳಿಗಳ ಬಗ್ಗೆ ಹಿರಿಯ ಶಾಸಕರೂ ಆದ ಸ್ಪೀಕರ್ ಪಾಠ ಮಾಡಿದರು.",2
ಗುಂಡಿ,"ತಿಲಕ್​ರಾಜ್ ಚನ್ನಪಟ್ಟಣ ಎಲ್ಲೆಂದರಲ್ಲಿ ಬಿದ್ದಿರುವ ಕಸ, ಗಬ್ಬು ನಾರುತ್ತಿರುವ ಚರಂಡಿ, ಅಲ್ಲಲ್ಲಿ ಡಾಂಬರೀಕರಣವಾಗಿದ್ದರೂ ಗುಂಡಿ ಬಿದ್ದಿರುವ ರಸ್ತೆಗಳು… ಇವು ಪಟ್ಟಣದ 10ನೇ ವಾರ್ಡ್​ನ ಪ್ರಮುಖ ಸಮಸ್ಯೆಗಳು.",1
ಗುಂಡಿ,ಅಧಿಕ ಯಂತ್ರಗಳು ಮತ್ತು ಕಾರ್ಮಿಕರನ್ನು ಬಳಸಿಕೊಂಡು ಬುಧವಾರ ರಾತ್ರಿಯೇ ಗುಂಡಿ ಮುಚ್ಚುವ ಕಾಮಗಾರಿಗೆ ಚುರುಕು ನೀಡಲಾಯಿತು.,1
ಗುಂಡಿ,"ಇನ್ನೂ ವಿಚಿತ್ರವೆಂದರೆ, ಇಂಗು ಗುಂಡಿ ಮಾಡಿ ಭೂಮಿಗೆ ನೀರುಣಿಸಿದರೆ, ಅಕ್ಕಪಕ್ಕದವರ ಮನೆ ಬೋರ್‌ವೆಲ್‌ಗಳಿಗೆ ಸಹಾಯವಾಗುತ್ತದೆ, ಈ ಕೆಲಸವೇ ಬೇಡ.",1
ಗುಂಡಿ,ಪತಿ ಹಾಗೂ ಪತ್ನಿಯ ದೇಹವನ್ನು ಅವರ ಜಮೀನಿನಲ್ಲಿ ಅಕ್ಕ ಪಕ್ಕ ಗುಂಡಿ ತೋಡಿ ಅಂತ್ಯಸಂಸ್ಕಾರ ಮಾಡಲಾಯಿತು.,1
ಗುಂಡಿ,"ಶಾಶ್ವತ ಪರಿಹಾರಕ್ಕೆ ಡೆಂಡರ್‌ ಶ್ಯೂರ್ ರಸ್ತೆ ಗುಂಡಿಗಳನ್ನು‌ ಮುಚ್ಚುವುದು ಒಂದೆಡೆಯಾದರೆ, ಗುಂಡಿ ಬೀಳದಂತಹ ರಸ್ತೆ ನಿರ್ಮಾಣ ಕಾರ್ಯ ಕೂಡ ನಡೆಯುತ್ತಿದೆ.",1
ಗುಂಡಿ,ಗುಂಡಿ ಅಗೆದು ಶವಗಳ ರುಂಡ ಕತ್ತರಿಸಿದ ದುಷ್ಕರ್ಮಿಗಳು…!,2
ಗುಂಡಿ,"ಅಲ್ಲದೆ, ಈಗಾಗಲೇ ಗುಂಡಿ ಮುಚ್ಚಿರುವ ಕಾಮಗಾರಿಯ ಗುಣಮಟ್ಟ ಪರಿಶೀಲನೆ ನಡೆಸಲು ಇಬ್ಬರು ಕಮಿಷನರ್‌ಗಳನ್ನು ನೇಮಿಸಿ ಸಮಗ್ರ ವರದಿ ನೀಡುವಂತೆ ಆದೇಶಿಸಿದೆ.",1
ಮಂಡಿ,"ಕ್ಯಾನ್ಸರ್, ಸ್ಟ್ರೋಕ್, ಕಣ್ಣಿನಲ್ಲಿ ಪೊರೆ , ಗಂಡಸರಲ್ಲಿ ಪ್ರಾಸ್ಟೇಟ್ ತೊಂದರೆ, ಮೂಳೆಗಳು ಸವಿದು ಮಂಡಿ ಮತ್ತು ಸೊಂಟಗಳಲ್ಲಿ ನೋವು, ಸಕ್ಕರೆ ಖಾಯಿಲೆ, ರಕ್ತ ಒತ್ತಡ ಹಾಗು ಮುಖ್ಯವಾಗಿ ಮಾನಸಿಕ ತೊಂದರೆಗಳು ಹಿರಿಯರನ್ನು ಬಾಧಿಸುತ್ತವೆ.",1
ಮಂಡಿ,ಪೃಷ್ಠದ ಕೆಳಗಿನ ಮೂಳೆ ಹಾಗೂ ಮಂಡಿ ನೋವಿನಿಂದ ಈಗ ರಾಜ್‌ಕುಮಾರ್‌ ಸಂಪೂರ್ಣ ಗುಣಮುಖರಾಗಿದ್ದಾರೆ.,1
ಮಂಡಿ,ಮಂಡಿ ನೋವು ಇನ್ನು ಮುಂತಾದ ಸಮಸ್ಯೆಗಳಿಗೆ ಎಳ್ಳೆಣ್ಣೆಯಲ್ಲಿ ಇದೆ ನೋಡಿ ಸೂಕ್ತ ಪರಿಹಾರ..!,1
ಮಂಡಿ,"ಕೀಲು ನೋವು, ಮುಳೆ ಸವೆತ ಮಂಡಿ ನೋವು ಇತ್ತಿಚಿಗೆ 30, 40 ವರ್ಷದವರಿಗೆ ಸಾಮಾನ್ಯವಾಗಿದೆ, ಅದಕ್ಕಾಗಿ ಸಾವಿರಾರು ರೂ.",1
ಮಂಡಿ,ಗುಲ್ ಮಂಡಿ (1),2
ಮಂಡಿ,"ನಿಮಗೆ ಮಂಡಿ ನೋವು ಕಾಡುತ್ತಿದೆಯೆ,ಹಾಗಾದರೆ ಆಪರೇಷನ್ ಇಲ್ಲದೆ ಸಂಪೂರ್ಣ ಗುಣಮುಖರಾಗಲು ಈ ವಿಧಾನ ಅನುಸರಿಸಿ,ಮಂಡಿ ನೋವಿನಿಂದ ಮುಕ್ತಿ ಪಡೆಯಿರಿ..!",1
ಮಂಡಿ,ಈ ಅಕ್ಕಿ ಮಂಡಿ ನೋವು ನಿವಾರಣೆಗೆ ಅತ್ಯಂತ ಪ್ರಯೋಜಕಾರಿ.,1
ಮಂಡಿ,"ಫೆ.1 ವಿತ್ತ ಸಚಿವರು ಕೇಂದ್ರ ಬಜೆಟ್’ನ್ನು ಮಂಡಿಸಲಿದ್ದು, ಅದು ಪ್ರಧಾನಿ ನರೇಂದ್ರ ಮೋದಿ ನೇತೃತ್ವದ ಕೇಂದ್ರ ಸರಕಾರ ಮಂಡಿ ಸಲಿರುವ ಪೂರ್ಣ ಪ್ರಮಾಣ ಬಜೆಟ್ ಆಗಿರಲಿದೆ ಎಂದು ತಿಳಿಸಿದ್ದಾರೆ.",2
ಮಂಡಿ,ಮಂಡಿ ಶಸ್ತ್ರ Read more…,1
ಮಂಡಿ,"ಜಾಗದ ಸಮಸ್ಯೆ ಬಗೆಹರಿಸುವಂತೆ ರೈತರು, ಮಂಡಿ ಮಾಲೀಕರು, ವ್ಯಾಪಾರಿಗಳು ಒತ್ತಡ ಹೇರಿದರು.",2
ಮಂಡಿ,"ಹನುಮಂತು ಮೆಸ್ ನಲ್ಲಿ ಮಂಡಿ ಮೊಹಲ್ಲದಲ್ಲಿ ನ್ಯಾಯೋಚಿತವಾಗಿ, ಉಪಾಹಾರ ಗೃಹವು ದಿನವಿಡೀ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತದೆ ಆದರೆ ಅದರ ಮಟನ್ ಪುಲಾವೊ ಬಹಳ ಜನಪ್ರಿಯವಾಗಿದೆ .",2
ಮಂಡಿ,ಇದೇ ಮಾರ್ಗದಲ್ಲಿ ಮಂಡಿ ಜಿಲ್ಲೆ ಆವೃತ್ತಿಯಲ್ಲಿರುವ ರೇವಾಲಸರ್ ಕೆರೆಯು ಕೈ ಬೀಸಿ ಕರೆಯುತ್ತದೆ.,2
ಮಂಡಿ,-ಎಚ್‌.ಎಸ್‌.ನರೇಂದ್ರ ಮಂಡಿ ಮಾಲೀಕ ಎಪಿಎಂಸಿ,2
ಮಂಡಿ,"ಶಿಮ್ಲಾ: ಇಲ್ಲಿನ ಮಂಡಿ ಪ್ರದೇಶದ ಮನೆಯೊಂದಕ್ಕೆ ಮಧ್ಯರಾತ್ರಿ ನಾಗರಹಾವು ಬಂದಿದ್ದರಿಂದ ತೀವ್ರ ಆತಂಕಗೊಂಡ ಕುಟುಂಬದವರು, ಹಿಮಾಚಲ ಪ್ರದೇಶದ ಮುಖ್ಯಮಂತ್ರಿ ಜೈರಾಂ ಠಾಕೂರ್ ಅವರಿಗೇ ಕರೆ ಮಾಡಿದ್ದಾರೆ.",2
ಮಂಡಿ,"ದೂರದಲ್ಲಿರುವ ಮಂಡಿ ಎಂಬಲ್ಲಿ ನಡೆದ ಸಾರ್ವಜನಿಕ ಸಭೆಯಲ್ಲಿ ಮಾತನಾಡಿದ ಮೋದಿ ಅವರು, ‘ಈ ಹಿಂದೆ ಇಸ್ರೇಲ್ ಬಗ್ಗೆ ಎಲ್ಲರು ಮಾತನಾಡುತ್ತಿದ್ದರು.",2
ಮಂಡಿ,ಎರಡು ವರ್ಷದ ಹಿಂದೆ ಮಂಡಿ ಹತ್ತಡಿ ಹತ್ತಡಿ ಜಾಗದಲ್ಲಿ ಆರಂಭವಾಯಿತು.,2
ಮಂಡಿ,ಸುಮಾರು 81ಕ್ಕೂ ಹೆಚ್ಚು ದೇವಾಲಯಗಳ ತವರೂರಾದ ಮಂಡಿ ಬಿಯಾಸ್ ನದಿಯ ದಡದ ಮೇಲಿದೆ.,2
ಮಂಡಿ,ಇದೇ ಮಾರ್ಗದಲ್ಲಿ ಮಂಡಿ ಜಿಲ್ಲೆ ಆವೃತ್ತಿಯಲ್ಲಿರುವ ರೇವಾಲಸರ್ ಕೆರೆಯು ಕೈ ಬೀಸಿ ಕರೆಯುತ್ತದೆ.,2
ಮಂಡಿ,"ಮಂಡಿ ಜಿಲ್ಲಾಧಿಕಾರಿಗೆ ಕರೆ ಮಾಡಿದ ಅವರು, ಆತಂಕದಲ್ಲಿರುವ ಕುಟುಂಬದ ನೆರವಿಗೆ ಧಾವಿಸುವಂತೆ ತಿಳಿಸಿದರು.",2
ಮಂಡಿ,"ದುಬಾರಿ ಎನಿಸುವ ಕೃತಕ ಮಂಡಿ ಕೀಲು ಉಪಕರಣಗಳ ಬೆಲೆಗಳ ಮೇಲೂ ನಿಯಂತ್ರಣ ಹೇರಿದ್ದು, ಅಧಿಸೂಚನೆ ಕೂಡ ಹೊರಡಿಸಲಾಅಗಿದೆ.",1
