word,kannada_meaning_1,kannada_meaning_2,kannada_meaning_3,kannada_meaning_4,english_meaning_1,english_meaning_2,english_meaning_3,english_meaning_4
ತೀರ್ಥ, ಪವಿತ್ರ ಜಲ,"ಕೊಳ, ನದಿ ಜಲಪ್ರದೇಶವಿರುವ ಪುಣ್ಯ ಕ್ಷೇತ್ರ",,,Holy Water,A holy place with pond and river water area,,
ವರ, ಅನುಗ್ರಹ,ಮದುವೆಯ ಗಂಡು,,,Grace,Groom,,
ಗುಂಡು, ತುಪಾಕಿಯ ಗೋಲಿ,ದುಂಡನೆಯ ,,,Bullet,Circular,,
ಪದ,,,,,Word , Song,,
ಅಡಿ,12 ಅಂಗುಲದ ಉದ್ದಳತೆ, ಕೆಳಗೆ,,,Feet - 12 inches long measurement unit,Under,,
ಆಟ, ಕ್ರೀಡೆ,ನಾಟಕ,,,Game,Drama/Play/Show,,
ಅಶೋಕ,ದುಃಖರಹಿತನಾದವನು,ಒಂದು ಜಾತಿಯ ಮರ,,,"
One who is without sorrow","A species of tree
",,
ವಿಧಿ,ಸಂವಿಧಾನದ ವಿಧಿ,ವಿಧಿ ಲಿಖಿತ,ಪ್ರತಿಜ್ಞಾ ವಿಧಿ,ವಿಧಿ ವಿಧಾನ, Article,Destiny,Oath,ritual
ಎಳೆ,"ನೂಲಿನ ಎಳೆ, ಸೂತ್ರ","ಎಳೆತನ, ಬಾಲ್ಯ",,,A thread of yarn,Immature/childhood,,
ಅಕ್ಷರ,ಲಿಪಿ,ವಿದ್ಯೆ,"ಬರೆಹ, ಮುದ್ರಣ",,Font,Education,Print,
ಪೂರ್ವ,ಮೂಡಣ ದಿಕ್ಕು,ಹಿಂದೆ,,,"
Direction East ",Before,,
ಕಳೆ,ಬೆಳೆಗಳ ನಡುವೆ ಬೆಳೆಯುವ ಹುಲ್ಲು,"ಕಾಂತಿ, ತೇಜಸ್ಸು",,,Weed,Radiance,,
ಬಂಡವಾಳ,"ಬೆಲೆ, ಮೌಲ್ಯ","ಸತ್ವ, ತಿರುಳು",,,"Price, value","Essence, core",,
ಕೈಲಾಸ,ಹಿಮಾಲಯ ಪರ್ವತ ಶ್ರೇಣಿಯಲ್ಲಿರುವ ಒಂದು ಬೆಟ್ಟ, ಶಿವನ ನೆಲೆ,"ಸುಖ, ಆನಂದ",,"
A hill in the Himalayan mountain range",Abode of Shiva,"Happiness, pleasure
",
ಕೇಸರಿ,ಕೇಸರಿ ಬಣ್ಣ, ಮಸಾಲೆ ಪದಾರ್ಥ,,,Colour Orange,Safforn,,
ಸಿದ್ಧ,"ಸಾಧಿಸಿದವನು, ಅಲೌಕಿಕ ಸಾಮರ್ಥ್ಯವುಳ್ಳವನು",ದೇವತೆಗಳಲ್ಲಿ ಒಂದು ಪಂಗಡ,,,"One who is accomplished, one who is supernaturally capable","
A sect of deities",,
ನಿರ್ಮಾಪಕ,ಸೃಷ್ಟಿ ಮಾಡುವವನು,"ಚಲನಚಿತ್ರ, ನಾಟಕ ಮುಂ.ವುಗಳ ನಿರ್ಮಾಣಕ್ಕೆ ಹಣವನ್ನು ಒದಗಿಸುವವನು, ಬಂಡವಾಳ ಹಾಕುವವನು",,,Creator,Film/Drama Producer,,
ಬಯಲು,ಮೈದಾನ,ಬಹಿರಂಗ,,,Arena,Reveal,,
ಮದ್ದು,ಔಷಧ ,"ಅಗ್ನಿಸ್ಫೋಟಕ, ಸಿಡಿ ಮದ್ದು",,,Medicine,Gunpowder,,
ವರ್ಷ,ಹನ್ನೆರಡು ತಿಂಗಳುಗಳ ಅವಧಿ,ಮಳೆ,,,Year,Rain,,
ನೆರೆ,ಪಕ್ಕ,ತುಂಬು ಪ್ರವಾಹ,,,Side,Flooding,,
ದಂತ,"ಹಲ್ಲು, ರದನ ",ಆನೆಯ ಕೋರೆ,,,Tooth,An elephant's tusk,,
ದಳ,ಎಲೆ," ಪಡೆ, ಸೈನ್ಯ",,,Leaf,Army,,
ಬರೆ,ರೇಖೆ,ಕಾದ ಕುಳದಿಂದ ಮೈಮೇಲೆ ಎಳೆದ ಗೆರೆ,ಕಡಿದಾದ ಬೆಟ್ಟ,,line,burn,"
steep hill",
ಅದಿರು,"ನಡುಕ, ಕಂಪನ",ಲೋಹಾಂಶವುಳ್ಳ ಖನಿಜ ದ್ರವ್ಯ,,,Shake,"
ore",,
ಸೀಮೆ,"ಗಡಿ, ಸರಹದ್ದು","ವ್ಯತ್ಯಾಸ, ಭೇದ",,,territory,Difference,,
ಸರಿ,ಒಪ್ಪಿಗೆಯನ್ನೂ ಸಾಕೆಂಬುದನ್ನೂ ಸೂಚಿಸಲು ಬಳಸುವ ಶಬ್ದ,"ಅಂಬಲಿ, ಗಂಜಿ",,,Right/not wrong/Okay,porridge,,
ಭೂತ,"ಹಿಂದೆ ಆದುದು, ಕಳೆದುದು ","ದೆವ್ವ, ಪಿಶಾಚಿ",,,Past ,Devil,,
ಕಸರತ್ತು,ಶಕ್ತಿಯ ಹಾಗೂ ಚಮತ್ಕಾರದ ಪ್ರದರ್ಶನ,ವ್ಯಾಯಾಮ,,,A show of strength and finesse,Excercise,,
ಕರ್ಮ,ಕೆಲಸ,ಸುಖದುಃಖಗಳಿಗೆ ಕಾರಣವಾದ ಪೂರ್ವಜನ್ಮದ ಕಾರ್ಯ,,,Work,"
Karma",,
ಹೊಳೆ,"ಕಾಂತಿ, ಹೊಳಪು","ನದಿ, ತೊರೆ",,,Shine,"river, stream
",,
ಗಜ,ಆನೆ,"ಒಂದು ಅಳತೆ, ಎರಡು ಮೊಳ, ಮೂರಡಿ ಉದ್ದ",,,Elephant,"ಒಂದು ಅಳತೆ, ಎರಡು ಮೊಳ, ಮೂರಡಿ ಉದ್ದ",,
ಮಂಡಿ,ತೊಡೆ ಮತ್ತು ಕಣಕಾಲಿನ ಮಧ್ಯದ ಕೀಲುಸಂಧಿ,ಭಾರೀ ಪ್ರಮಾಣದ ವ್ಯಾಪಾರ ನಡೆಯುವ ಸ್ಥಳ,,,Knee,Market,,
ಮತ,"ಅಭಿಪ್ರಾಯ, ಚುನಾವಣೆಗಳಲ್ಲಿ ಜನರು ತಮ್ಮ ಆಯ್ಕೆಯನ್ನು ಕುರಿತು ಸೂಚಿಸುವ ಅಭಿಪ್ರಾಯ",caste,,,"Opinon, Vote",caste,,
ಪ್ರತಿ,ಒಂದು ಗ್ರಂಥದ ನಕಲು,ಒಂದೊಂದು ,,,"
A copy","
one by one",,
ಲಿಂಗ,Gender,ಶಿವನ ಒಂದು ಪ್ರತೀಕ,,,Gender,"A symbol of Shiva
",,
ನಾಮ,ಹೆಸರು ,ಹಣೆಯಲ್ಲಿ ಧರಿಸುವ ಲಾಂಛನ,"ಮೋಸ
",,Name,An emblem worn on the forehead,cheating,
ರಂಗ,ಬಣ್ಣ,"ನಾಟಕ ಮುಂ.ವನ್ನು ಆಡುವ ಸ್ಥಳ, ವೇದಿಕೆ",,,Colour,"
A place where a play is performed, a stage",,
ರಾಶಿ,ಸಮೂಹ ,"ಜ್ಯೋತಿಷ್ಚಕ್ರದಲ್ಲಿರುವ) ಮೇಷ, ವೃಷಭ ಮೊ. ಹನ್ನೆರಡು ವಿಭಾಗಗಳು",,,Heap,Astrology Sign,,
ವರ್ಣ,"ಬಣ್ಣ, ರಂಗು","ಪಂಗಡ","ಹೊಳಪು, ಕಾಂತಿ",,Colour,"Faction, Sect
",Shine,
ಹುಟ್ಟು,ಜನನ,ದೋಣಿ ನಡೆಸುವ ಕೋಲು,,,"be born
","A rowing stick
",,
ನೇರ," ನೆಟ್ಟಗಿರುವಿಕೆ, ಡೊಂಕಿಲ್ಲದಿರುವಿಕೆ","ನಿಜ, ಸತ್ಯ, ಕಾಲ, ಸಮಯ",,,"
Erect, not bent",Live,,
ಬದಿ,"ಪಕ್ಕ, ಮಗ್ಗಲು",ಕೆಸರು,,,Beside,mud,,
ದಂಡ,"ಕೋಲು, ದಡಿ",ಶಿಕ್ಷೆ,,,Stick,punishment,,
ತಿಳಿ,"ಸ್ವಚ್ಛತೆ, ನೈರ್ಮಲ್ಯ","ಜ್ಞಾನ, ಅರಿವು",,,"Cleanliness, hygiene
","Knowledge, awareness
",,
ನರ,ಮನುಷ್ಯ,"ಅವಯವಗಳಿಂದ ಸಂವೇದನೆಗಳನ್ನೂ, ಮೆದುಳಿನಿಂದ ಅವಯವಗಳಿಗೆ ಸೂಚನೆಗಳನ್ನು ಒಯ್ಯುವ - ತಂತು, ಸೆರೆ",,,Human,Nerve,,
ಗುರು,ಉಪಾಧ್ಯಾಯ,ನವ ಗ್ರಹಗಳಲ್ಲಿ ಒಂದು,,,Teacher,"
One of the planets",,
ಉತ್ತರ,ಪ್ರಶ್ನೆಗೆ ಕೊಡುವ ಮರುನುಡಿ,ಉತ್ತರದಿಕ್ಕು,,,Answer,Direction West,,
ಮೃಗ,ಪಶು, ಒಂದು ಬಗೆಯ ಜಿಂಕೆ,,,Animal,"A kind of deer
",,
ಸೇರು,"ಒಂದು ಅಳತೆ, ನಾಲ್ಕು ಪಾವು",ಕೂಡು,,,"
One measure, four quarters","join in
",,
ಗಂಡ,ಪತಿ,"ಗ್ರಹಗಳ ಪ್ರಭಾವದಿಂದ ಉಂಟಾಗುವುದೆನ್ನಲಾದ) ರೋಗ, ರುಜಿನ, ಆಪತ್ತು, ಅಪಾಯ",,,husband,"
dangeror disease said to be caused by the influence of planets",,
ಗುಂಡಿ," ಬಿಲ, ಡೊಗರು, ಗುಣಿ",ಒತ್ತುವ ಗುಬುಟು,ಅಂಗಿ ಗುಂಡಿ,,"Hole, Pothole",Button - to press,Shirt button,
ಬೆಳೆ,"ಬೆಳೆದುದು; ಮರ, ಗಿಡ, ಪೈರು",ದೊಡ್ಡದಾಗು,,,Agriclute Crop Yield,to grow,,
ತೆರೆ,ಬಿಚ್ಚುವಿಕೆ,ಅಲೆ,,,unwinding,wave,,
ಚರಣ,ಪಾದ,ಕೀರ್ತನೆಗಳ ಕಡೆಯ ಭಾಗ,,,foot,"
The last part of the psalms",,
ಕಲೆ,"ಕೊಳೆ, ಕಳಂಕ","ಲಲಿತವಿದ್ಯೆ, ಕುಶಲವಿದ್ಯೆ",,,"Dirt, Stain",art,,
ಕರ,ಹಸ್ತ,ತೆರಿಗೆ,,,palm,tax,,
ಕೂಲಿ,ದುಡಿಮೆಗಾಗಿ ಕೊಡುವ ಪ್ರತಿ ಫಲ ,ಕೂಲಿಯಾಳು,,,reward for labor,labourer,,
ಹೃದಯ,ದೇಹದ ಮಲಿನ ರಕ್ತವನ್ನು ಶುದ್ಧಗೊಳಿಸಿ ಅಂಗಾಂಗಳಿಗೆ ಶುದ್ಧರಕ್ತವನ್ನು ಒದಗಿಸುವ ರಕ್ತಕೋಶ,"ದಯೆ, ಕರುಣೆ",,,Heart,Kindness,,
ಗುಡುಗು,ಮೇಘಗರ್ಜನೆ ,ಆರ್ಭಟ,,,Thunder,uproar,,
ಕಾಡು,"ಅಡವಿ, ಅರಣ್ಯ ","ಹಿಂಸಿಸು, ಪೀಡಿಸು",,,forest,Torture,,
ಕಲ್ಯಾಣ," ಶುಭ, ಅದೃಷ್ಟ",ಮದುವೆ ,,,"
Good luck",marriage ,,
ಅಲೆ, ನೀರಿನ ತೆರೆ,ಗುರಿಯಿಲ್ಲದೆ ತಿರುಗಾಡು,,,wave,wander,,
