lemma,sentence,sense,kannada_meaning,english_meaning
ಅಕ್ಷರ,"ಅಜ್ಜಿ ಹೇಳುತ್ತಿದ್ದ ರಾಜ ರಾಣಿಯರ ಕಥೆಗಳು, ಅಮೇಲೆ ಅಕ್ಷರ ಅಕ್ಷರ ಜೋಡಿಸಿಕೊಂಡು ಓದುತ್ತಿದ್ದ ಚಂದಮಾಮ, ಬಾಲಮಿತ್ರದ ಸಣ್ಣ ಕಥೆಗಳು, ತಿಂಡಿ ತಿನ್ನುವಾಗ, ಶಾಲಾ ಕಾಲೇಜಿನಿಂದ ಬಂದ ಕೂಡಲೇ, ಪಕ್ಕದ ಮನೆ ಆಂಟಿ ದೊಡ್ಡ ಮನಸ್ಸು ಮಾಡಿ ಕೊಟ್ಟಾಗ ಅವಸರವಸರವಾಗಿ ಓದುತ್ತಿದ್ದ ಸುಧಾ, ತರಂಗ, ಪ್ರಜಾಮತ, ಮಯೂರು, ತುಷಾರಗಳ ಕಥೆಗಳು, ಭಾನುವಾರಕ್ಕಾಗಿ ಕಾದು ಸಾಪ್ತಾಹಿಕದಲ್ಲಿ ಓದುತ್ತಿದ್ದ ವಾರದ ಕಥೆಗಳು ಇತ್ಯಾದಿ.",1,ಲಿಪಿ,Font
ಅಕ್ಷರ,"ಪಠ್ಯ ಗುರುತಿಸುವಿಕೆ ಕಾರ್ಯಕ್ರಮಗಳು ಹಲವು ಅಕ್ಷರ ಮತ್ತು ಫಾಂಟ್ಗಳನ್ನು ಗುರುತಿಸುತ್ತವೆ, ಆದರೆ ಮಾನವರು ಇನ್ನೂ ಉತ್ತಮವಾಗಿದ್ದಾರೆ.",1,ಲಿಪಿ,Font
ಅಕ್ಷರ,ಕಂಪ್ಯೂಟರಿನಲ್ಲಿ ಕನ್ನಡ ಅಕ್ಷರ ಕಂಪ್ಯೂಟರ್ ಪ್ರಪಂಚದಲ್ಲಿ ಕನ್ನಡ ಮೊದಲಿಗೆ ಬಳಕೆ ಯಾಗಿದ್ದು ಇಂಗ್ಲಿಷ್‌ ಲಿಪಿಯ ಮೂಲಕ.,1,ಲಿಪಿ,Font
ಅಕ್ಷರ,ವಾಸ್ತವವಾಗಿ ಸೈದ್ಧಾಂತಿಕ ಸೂಚ್ಯಂಕ ಸರಬರಾಜು ಗಾಳಿಯ ಆದರ್ಶ ಅನುಪಾತ ಗ್ರೀಕ್ ಅಕ್ಷರ λ (ಲಾಂಬ್ಡಾದೊಂದಿಗೆ) ಗೊತ್ತುಪಡಿಸಿದ ಮಾಡಬಹುದು.,1,ಲಿಪಿ,Font
ಅಕ್ಷರ,"ಅಂದರೆ, ಈವರೆಗೆ ನಾವು ಅಕ್ಷರ ವೃತ್ತ ಛಂದವನ್ನು ಆರಂಭದಲ್ಲಿ ಗಮನಿಸಿದೆವು; ಅನಂತರ ಮಾತ್ರಾಕ್ಷರ ವೃತ್ತವಾದ ಕಂದವನ್ನು ಗಮನಿಸಿದೆವು.",1,ಲಿಪಿ,Font
ಅಕ್ಷರ,ಚಿಕ್ಕಮಗಳೂರು: ಸೇವಾ ಭದ್ರತೆ ಸೇರಿ ವಿವಿಧ ಬೇಡಿಕೆ ಈಡೇರಿಸಲು ಆಗ್ರಹಿಸಿ ಅಕ್ಷರ ದಾಸೋಹ ಬಿಸಿಯೂಟ ಕಾರ್ಯಕರ್ತರು ಎಐಟಿಯುಸಿ ನೇತೃತ್ವದಲ್ಲಿ ಮಾ.,2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,ಗಡಿಯಲ್ಲಿರುವ ಪ್ರಾಥಮಿಕ ಶಾಲೆಯ ಅನೇಕ ಮಕ್ಕಳಿಗೆ ಅಕ್ಷರ ಜ್ಞಾನವೇ ಇಲ್ಲ.,2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,ಅದೂ ಸಿಕ್ಕರೆ ಉಂಟು ಇಲ್ಲದಿದ್ದರೆ ಇಲ್ಲ~ ಎಂದರು ಅಕ್ಷರ ಭಾಗ್ಯದಿಂದ ವಂಚಿತರಾದ ವೆಂಕಟೇಶ.,2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,"ಮಂಟೇಸ್ವಾಮಿ, ಮಾದೇಶ್ವರರ ಕಥಾ ಪ್ರಸಂಗಗಳನ್ನು ಸೃಷ್ಟಿಸಿರುವ ಜಾನಪದರು ಅಕ್ಷರ ಕಲಿತವರಲ್ಲ.",2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,"ಪಟ್ಟಣದ ತಾಲ್ಲೂಕು ಪಂಚಾಯಿತಿ ಕಚೇರಿ ಸಭಾಂಗಣದಲ್ಲಿ ಸೋಮವಾರ ಏರ್ಪಡಿಸಿದ್ದ ವಿಶ್ವ ಸಾಕ್ಷರತಾ ದಿನಾಚರಣೆ ಸಮಾರಂಭ ಉದ್ಘಾಟಿಸಿ ಮಾತನಾಡಿ, ಭೂಮಿಗೆ ಬಿದ್ದ ಬೀಜ, ಎದೆಗೆ ಬಿದ್ದ ಅಕ್ಷರ ಎಂದೂ ವ್ಯರ್ಥವಾಗುವುದಿಲ್ಲ ಎಂದುಹೇಳಿದರು.",2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,Home ಕನ್ನಡ ವಾರ್ತೆಗಳು ಕರ್ನಾಟಕ ಕನ್ನಡ ಮಾತು ಅಕ್ಷರ ರೂಪಕ್ಕಿಳಿಸುವ ಆ್ಯಪ್‌…!,2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,ಅಕ್ಷರ ವಂಚಿತನಾಗಿದ್ದ ನಾನು ಶಿಕ್ಷಣದ ಅರಿವಿನ ಹಂಚಿಕೆಗಾಗಿ ಹಲವರಿಂದ ಸಹಾಯ ಪಡೆದುಕೊಂಡು ಶಾಲೆಯನ್ನು ಕಟ್ಟಿದ್ದೇನೆ.,2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,ಅಕ್ಷರ ತೋರುವ ವಿಕಾಸದ ಹಾದಿ,2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,ಅವರೊಬ್ಬ ಅಕ್ಷರ ವಿದ್ಯಾರಣ್ಯ.,2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,ಹೀಗೆ ಮುಂದುವರಿದ ಅವರ ಅಕ್ಷರ ಜ್ಞಾನ ಮೈಸೂರು ವಿಶ್ವವಿದ್ಯಾಲಯದಲ್ಲಿ ಜೀವ ವಿಜ್ಞಾನ ವಿಭಾಗದಲ್ಲಿ ಪದವಿ ಪಡೆಯುವವರೆಗೆ ಮುಂದುವರಿಯಿತು.,2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,ಅಲ್ಪಸ್ವಲ್ಪ ಅಕ್ಷರ ಜ್ಞಾನವನ್ನು ಪಡೆಯುವುದರ ಮೂಲಕ ತಮ್ಮ ಹಕ್ಕುಗಳೇನು?,2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,ಅಕ್ಷರ ಜ್ಞಾನದಿಂದ ಬಹುಪಾಲು ಬೇಡತಿಯರು ಬಹುಕಾಲ ವಂಚಿತರಾಗಿದ್ದಾಗಲೂ ವ್ಯವಹಾರ ಜ್ಞಾನದಲ್ಲಿ ಸಿದ್ದಿಯನ್ನು ಪಡೆದಿದ್ದಾರೆ.,2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,"ತುಳಿತಕ್ಕೊಳಗಾದವರಿಗೆ ಧಾರ್ಮಿಕ ಸಂಸ್ಕಾರ, ಅಕ್ಷರ ಜ್ಞಾನ ಕೊಟ್ಟು ಅವರನ್ನು ಮುಖ್ಯವಾಹಿನಿಗೆ ತರುವ ಕೆಲಸ ಈಗಲೂ ಮಾಡುತ್ತಿದೆ.",2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,ಶಿಕ್ಷಣ ಇವರಿಗೆ ಕೇವಲ ಅಕ್ಷರ ಜ್ಞಾನವಾಗಿ ಕಾಣಿಸಲಿಲ್ಲ.,2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,ಅಕ್ಷರ ಜ್ಞಾನ ಇಲ್ಲದಿದ್ದರೂ ಶಾರದಾದೇವಿಗೆ ತಿಳುವಳಿಕೆ ತುಂಬಾ ಇತ್ತು.,2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,"ಆದರೆ ಅಕ್ಷರ ಜ್ಞಾನ, ಕಾನೂನಿನ ಅರಿವು ಇಲ್ಲದ ನಮಗೆ ಕೆಲವರು ವಂಚಿಸಿ ಜೀವ ಬೇದರಿಕೆಯೊಡ್ಡಿ ಕಲ್ಲುಗಣಿಗಾರಿಕೆ ನಡೆಸುತ್ತಿದ್ದಾರೆ.",2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,"ಅವರ ಆಶಯದಂತೆ ಗುಡಿಸಲಿನೊಳಗೆ ಅಕ್ಷರ ಜ್ಞಾನಿಗಳೇನೊ ಉದಯಿಸಿದರು, ಆದರೆ ಅದರ ನಂತರದ ಆಶಯಗಳು ಏನಾದವು ?",2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,"ಹಿರಿಯ ಪತ್ರಕರ್ತ, ರಾಜ್ಯ ಮಹಿಳಾ ವಿಶ್ವವಿದ್ಯಾಲಯದ ಸಿಂಡಿಕೇಟ ಸದಸ್ಯ ರಫೀಕ್ ಬಂಡಾರಿ ಮಾತನಾಡಿ ಪ್ರತಿ ಕುಟುಂಬ ಶಿಕ್ಷಣ ಪಡೆಯಬೇಕು, ಅಕ್ಷರ ಜ್ಞಾನದಿಂದ ಬದುಕನ್ನು ಕಟ್ಟಿಕೊಳ್ಳಬೇಕು ಎಂಬುದು ಮೌಲಾನಾ ಆಝಾದರ ಕನಸಾಗಿತ್ತು, ಶಿಕ್ಷಣದ ಹಕ್ಕು ಅಸಹಾಯಕರು, ದುರ್ಬಲರು, ಹಾಗೂ ಬಡವರಿಗೆ ನಿಲುಕದ ವಿಷಯವಾಗಿದೆ ಎಂದು ವಿಷಾದಿಸಿದರು.",2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,ಮನುಷ್ಯನಿಗೆ ವೀರಶೈವ ಮಠಗಳು ವಿದ್ಯಾಸಂಸ್ಥೆಗಳನ್ನು ಸ್ಥಾಪಿಸಿ ಅಕ್ಷರ ಜ್ಞಾನ ದಾಸೋಹ ನೀಡಿ ಸಮಾಜದ ಅಭ್ಯುದಯಕ್ಕೆ ಶ್ರಮಿಸದೆ ಇದ್ದರೆ ಇಂದು ಸಮಾಜ ಅಂಧಕಾರದಲ್ಲಿ ಇರಬೇಕಾಗಿತ್ತು.,2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,ಕಾರಾಗೃಹದಲ್ಲಿ ಅಕ್ಷರ ಜ್ಞಾನಾರ್ಜನೆ- ಸಾಕ್ಷರ ಕೈದಿಗಳಿಂದ ಅನಕ್ಷರಸ್ಥ ಕೈದಿಗಳಿಗೆ ಪಾಠ,2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,ಅಕ್ಷರ ಜ್ಞಾನದ ಮಹತ್ವ ಅರಿತು ತಮ್ಮ ಮಕ್ಕಳನ್ನು ಶಾಲೆಗೆ ಕಳುಹಿಸುತ್ತಿದ್ದಾರೆ.,2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,ಅಕ್ಷರ ಜ್ಞಾನ ಮತ್ತು ಶಿಕ್ಷಣ ಅವುಗಳಷ್ಟಕ್ಕೆ ಅವು ಮಹತ್ವ ಪಡೆದಿರುವ ಸಂಗತಿಗಳಾಗಿವೆ.,2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,"ಆದರೆ ಕೇಂದ್ರ ಸರ್ಕಾರ ಈಗ ಕೌಶಲ ತರಬೇತಿ ನೀಡುವುದಾಗಿ ಘೋಷಿಸಿದ ನಂತರ, ನಾವು ಕೇವಲ ಅಕ್ಷರ ಜ್ಞಾನ ನೀಡುವ ಕಡೆ ಗಮನ ಹರಿಸುತ್ತಿದ್ದೇವೆ ಎಂದರು.",2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,ಕೇವಲ ಅಕ್ಷರ ಜ್ಞಾನದಿಂದ ಸಮಸ್ಯೆಗಳು ಪರಿಹಾರವಾಗುವುದಿಲ್ಲ.,2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,"ರಮಾನಾಥ ರೈ, ಅಕ್ಷರ ಜ್ಞಾನದಿಂದ ಮಾತ್ರ ಶೋಷಣೆ ಮುಕ್ತ ಸಮಾಜ ನಿರ್ಮಾಣವಾಗಲಿದೆ.",2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,ದಲಿತ ವಚನಕಾರರು ಅಕ್ಷರ ಜ್ಞಾನ ಪಡೆದು ಸಾಹಿತ್ಯ ರಚಿಸುವ ಮೂಲಕ ಎಲ್ಲ ಸಮುದಾಯದವರು ಒಂದೇ ಎಂದು ಸಾರಿದರು.,2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,ಪ್ರತಿಯೊಬ್ಬರಿಗೂ ಅಕ್ಷರ ಜ್ಞಾನ ಸಿಗಬೇಕು ಎಂದು ಹೇಳಿದರು.,2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,ಅಷ್ಟರಲ್ಲಿ ಮಕ್ಕಳು ಕಲಿತ ಅಕ್ಷರ ಜ್ಞಾನವನ್ನು ಮರೆಯುತ್ತಾರೆ.,2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,ಮೂರುವರೆ ತಿಂಗಳ ಹಿಂದೆ ಅಕ್ಷರ ಜ್ಞಾನ ಹೇಳಿಕೊಟ್ಟರೆ ಸಂಕೇತನಿಗೆ ಒಮ್ಮೆಲೇ ತಲೆಗೆ ಹತ್ತುತ್ತಿರಲಿಲ್ಲ.,2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,"ಎರಡು, ಆ ಕಾರಣದಿಂದ ಬಾಲ್ಯಾವಸ್ಥೆಯಲ್ಲಿಯೇ ಹುಡುಗ ತುಂಬಿ ಚುರುಕಾಗಿ ಅಕ್ಷರ ಜ್ಞಾನ ಹೊಂದಿದ್ದು.",2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,ಅಕ್ಷರ ಜ್ಞಾನವಿಲ್ಲದಿದ್ದರೂ ವೈದ್ಯಕೀಯ ಕ್ಷೇತ್ರವೇ ಅಚ್ಚರಿಯಾಗುವಂತಹ ಸಾಧನೆ ಮಾಡಿರುವ ಇವರು ವಯೋಸಹಜ ಅನಾರೋಗ್ಯಕ್ಕೆ ತುತ್ತಾಗಿರುವ ಇವರಿಗೆ 36 ಮೊಮ್ಮಕ್ಕಳಿದ್ದಾರೆ.,2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,"ಅಕ್ಷರ ಜ್ಞಾನದಿಂದ ವಂಚಿತವಾದ ಸಮುದಾಯದಿಂದ ಬಂದು ವಿಶ್ವಜ್ಞಾನಿಯಾಗಿ ರೂಪುಗೊಂಡ ಬಾಬಾ ಸಾಹೇಬರ ಶ್ರಮ, ಹೋರಾಟ ಹಾಗೂ ಅವರ ವ್ಯಕ್ತಿತ್ವಇಂದಿನ ದಿನ ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ದಾರಿದೀಪವಾಗಬೇಕು ಎಂದರು.",2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,"ಈ ಕಲಿಕೆ ಅಕ್ಷರ ಜ್ಞಾನರಹಿತ, ಜೀವನ ಜ್ಞಾನಭರಿತವಾಗಿದ್ದು, ಜನಪದ ಜನಸಾಮಾನ್ಯರ ಸಂಸ್ಕøತಿ ಕೋಶವಾಗಿತ್ತು ಎಂದರು.",2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,"ದೇವಸ್ಥಾನಗಳಲ್ಲಿ ದೇವರು ಕಣ್ಮುಂದೆ ಇಲ್ಲದಿದ್ದರೂ ನಾವು ಭಕ್ತಿ, ನಂಬಿಕೆಯಿಂದ ಕೈ ಮುಗಿಯುತ್ತೇವೆ, ಶಾಲೆಗಳೆಂದರೆ ಅಕ್ಷರ ಜ್ಞಾನ ನೀಡುವ ಇಲ್ಲಿ ಕಲಿಸುವ ಶಿಕ್ಷಕರಿಂದಾಗಿ ಮಾತನಾಡುವ ದೇಗುಲಗಳಾಗಿದ್ದು ಭಯ, ಭಕ್ತಿ, ಗೌರವ ಅಗತ್ಯ ಎಂದು ಹೇಳಿದರು.",2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,ಅನಕ್ಷರಸ್ಥರಿಗೆ ಅಕ್ಷರ ಜ್ಞಾನವನ್ನು ಕಲ್ಪಿಸುವುದು.,2,ವಿದ್ಯೆ,Education
ಅಕ್ಷರ,ಗರೂಡರು ನಾಟಕಗಳನ್ನು ಅಭಿನಯಿಸುತ್ತಿದ್ದ ಕಾಲದಲ್ಲಿ ನೂರ ಮಂದಿಯಲ್ಲಿ ಹತ್ತು ಮಂದಿಗೆ ಅಕ್ಷರ ಜ್ಞಾನ ಇತ್ತು.,2,ವಿದ್ಯೆ,Education
